case,kind,n_mc,p_any_alarm,p_fail_valid,t_first_mean,t_first_std,t_valid_mean,t_valid_std,t_E,delay_mean,delay_std,p_premature_alarm,indicator,snr_db,Px_ref,sigma
Case_Test,B_transition,50,1.0,0.0,5.760524999989911,1.2129135103817632,6.707924999987703,0.063381256483685,5.365770208787228,1.342154791200474,0.063381256483685,0.38,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06
Case_Test,B_transition,50,1.0,0.0,6.727524999987658,0.010738068841669909,6.727524999987658,0.010738068841669909,5.365770208787228,1.3617547912004284,0.010738068841669907,0.0,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06
Case_Test,B_transition,50,1.0,0.0,6.747924999987609,0.016314510881570484,6.747924999987609,0.016314510881570484,5.365770208787228,1.3821547912003809,0.016314510881570484,0.0,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06
Case_Test,B_transition,50,1.0,0.0,6.9475249999871425,0.13245330328435995,6.9475249999871425,0.13245330328435995,5.365770208787228,1.581754791199916,0.13245330328435995,0.0,MaxEnt_SPRT,0.0,1.0126973666638687e-10,1.0063286573798188e-05
