case,kind,indicator,snr_db,Px_ref,sigma,mc_id,t_first_any,t_valid,delay,premature_alarm,seed,indicator_name
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,0,4.222524999993494,6.722524999987668,1.3567547912004398,True,22260302,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,1,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260303,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,2,4.222524999993494,6.712524999987691,1.3467547912004632,True,22260304,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,3,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260305,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,4,6.712524999987691,6.712524999987691,1.3467547912004632,False,22260306,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,5,4.232524999993471,6.732524999987644,1.3667547912004165,True,22260307,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,6,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260308,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,7,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260309,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,8,6.712524999987691,6.712524999987691,1.3467547912004632,False,22260310,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,9,4.222524999993494,6.722524999987668,1.3567547912004398,True,22260311,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,10,4.262524999993401,6.732524999987644,1.3667547912004165,True,22260312,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,11,6.712524999987691,6.712524999987691,1.3467547912004632,False,22260313,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,12,4.222524999993494,6.722524999987668,1.3567547912004398,True,22260314,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,13,6.4025249999884135,6.4025249999884135,1.0367547912011856,False,22260315,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,14,6.4025249999884135,6.4025249999884135,1.0367547912011856,False,22260316,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,15,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260317,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,16,4.242524999993448,6.722524999987668,1.3567547912004398,True,22260318,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,17,4.242524999993448,6.712524999987691,1.3467547912004632,True,22260319,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,18,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260320,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,19,4.232524999993471,6.722524999987668,1.3567547912004398,True,22260321,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,20,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260322,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,21,4.232524999993471,6.732524999987644,1.3667547912004165,True,22260323,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,22,4.222524999993494,6.722524999987668,1.3567547912004398,True,22260324,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,23,6.712524999987691,6.712524999987691,1.3467547912004632,False,22260325,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,24,6.712524999987691,6.712524999987691,1.3467547912004632,False,22260326,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,25,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260327,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,26,6.712524999987691,6.712524999987691,1.3467547912004632,False,22260328,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,27,4.222524999993494,6.732524999987644,1.3667547912004165,True,22260329,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,28,4.222524999993494,6.722524999987668,1.3567547912004398,True,22260330,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,29,6.712524999987691,6.712524999987691,1.3467547912004632,False,22260331,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,30,6.712524999987691,6.712524999987691,1.3467547912004632,False,22260332,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,31,6.712524999987691,6.712524999987691,1.3467547912004632,False,22260333,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,32,4.222524999993494,6.712524999987691,1.3467547912004632,True,22260334,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,33,6.732524999987644,6.732524999987644,1.3667547912004165,False,22260335,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,20.0,1.0126973666638687e-10,1.0063286573798188e-06,34,6.722524999987668,6.722524999987668,1.3567547912004398,False,22260336,MaxEnt_SPRT
